pickup_date,trips,revenue,avg_fare
2023-01-01,74004,2287064.0,22.02
2023-01-02,63558,1994023.0,22.22
2023-01-03,83303,2446706.0,20.19
2023-01-04,92617,2605787.0,19.14
2023-01-05,98451,2693204.0,18.5
2023-01-06,99962,2673217.0,17.96
2023-01-07,102203,2622335.0,17.7
2023-01-08,82635,2360240.0,19.89
2023-01-09,83042,2335690.0,19.0
2023-01-10,97536,2594661.0,17.77
2023-01-11,103528,2728837.0,17.54
2023-01-12,108622,3013091.0,18.61
2023-01-13,107693,3038309.0,18.87
2023-01-14,109856,2876683.0,17.98
2023-01-15,94238,2564872.0,18.79
2023-01-16,77809,2257590.0,20.01
2023-01-17,98357,2768772.0,18.9
2023-01-18,103629,2823944.0,18.21
2023-01-19,112023,3028475.0,18.1
2023-01-20,106802,2888607.0,18.09
2023-01-21,109311,2733692.0,17.14
2023-01-22,87348,2415327.0,19.08
2023-01-23,87338,2395516.0,18.38
2023-01-24,101346,2688783.0,17.65
2023-01-25,106511,2768839.0,17.23
2023-01-26,112047,3058254.0,18.21
2023-01-27,108892,2932720.0,17.94
2023-01-28,108881,2732571.0,17.21
2023-01-29,85738,2379237.0,19.16
2023-01-30,81331,2272327.0,18.81
2023-01-31,97948,2633662.0,18.03
2023-02-01,105151,2774273.0,17.57
2023-02-02,110376,2946783.0,17.76
2023-02-03,112330,2941215.0,17.34
2023-02-04,95671,2384740.0,17.03
2023-02-05,81773,2313217.0,19.57
2023-02-06,88562,2474700.0,18.77
2023-02-07,103630,2743375.0,17.61
2023-02-08,105955,2835483.0,17.82
2023-02-09,112488,3130071.0,18.67
2023-02-10,111447,3062628.0,18.39
2023-02-11,111770,2873439.0,17.73
2023-02-12,91980,2532242.0,18.99
2023-02-13,90526,2501714.0,18.6
2023-02-14,105846,2842586.0,18.03
2023-02-15,107950,3057589.0,19.0
2023-02-16,110069,3050408.0,18.6
2023-02-17,108612,2996416.0,18.44
2023-02-18,102302,2678528.0,18.1
2023-02-19,87384,2427517.0,19.29
2023-02-20,77254,2293406.0,20.65
2023-02-21,97218,2709491.0,18.74
2023-02-22,108141,2969071.0,18.44
2023-02-23,112321,3120785.0,18.69
2023-02-24,112319,3063379.0,18.27
2023-02-25,110424,2852795.0,17.81
2023-02-26,88594,2542916.0,19.92
2023-02-27,90215,2559680.0,19.14
2023-02-28,98555,2673234.0,18.14
2023-03-01,112441,3125164.0,18.69
2023-03-02,115955,3244795.0,18.81
2023-03-03,113244,3077530.0,18.17
2023-03-04,110136,2837287.0,17.73
2023-03-05,94264,2692169.0,19.8
2023-03-06,90885,2628268.0,19.53
2023-03-07,110961,2997605.0,18.0
2023-03-08,114545,3198826.0,18.73
2023-03-09,118442,3324159.0,18.89
2023-03-10,118620,3305322.0,18.68
2023-03-11,108346,2800719.0,17.76
2023-03-12,92543,2661840.0,19.93
2023-03-13,97760,2799430.0,19.3
2023-03-14,104952,2854218.0,18.23
2023-03-15,116941,3363092.0,19.47
2023-03-16,120928,3533585.0,19.84
2023-03-17,109365,3213616.0,20.03
2023-03-18,118396,3133132.0,18.31
2023-03-19,97572,2895331.0,20.63
2023-03-20,88808,2689859.0,20.57
2023-03-21,99153,2823942.0,19.25
2023-03-22,103321,2949309.0,19.25
2023-03-23,111305,3223939.0,19.58
2023-03-24,107973,3063563.0,19.07
2023-03-25,112758,2913617.0,17.77
2023-03-26,91656,2732833.0,20.78
2023-03-27,93873,2740271.0,19.68
2023-03-28,101872,2882813.0,19.12
2023-03-29,108655,3100201.0,19.26
2023-03-30,116306,3357934.0,19.59
2023-03-31,112074,3215415.0,19.37
2023-04-01,114086,3006360.0,18.2
2023-04-02,97302,2829460.0,20.25
2023-04-03,94403,2757724.0,19.91
2023-04-04,105965,2928274.0,18.61
2023-04-05,113030,3170603.0,19.01
2023-04-06,105409,2995369.0,19.19
2023-04-07,103125,2821175.0,18.4
2023-04-08,99048,2527891.0,17.66
2023-04-09,85977,2473232.0,20.07
2023-04-10,87248,2618846.0,20.44
2023-04-11,102438,2940131.0,19.42
2023-04-12,110541,3099015.0,18.88
2023-04-13,119078,3406835.0,19.38
2023-04-14,121032,3422371.0,19.1
2023-04-15,116024,3138302.0,18.84
2023-04-16,95951,2837437.0,20.63
2023-04-17,95359,2877399.0,20.54
2023-04-18,112539,3257806.0,19.64
2023-04-19,115034,3328158.0,19.6
2023-04-20,122940,3667540.0,20.28
2023-04-21,114081,3285430.0,19.41
2023-04-22,115163,3064295.0,18.49
2023-04-23,95365,2935128.0,21.53
2023-04-24,97172,2970906.0,20.79
2023-04-25,110176,3245369.0,20.02
2023-04-26,117362,3427988.0,19.79
2023-04-27,121557,3652157.0,20.48
2023-04-28,120272,3484288.0,19.6
2023-04-29,107612,2938686.0,19.12
2023-04-30,91678,2772561.0,21.22
2023-05-01,97012,3043088.0,21.47
2023-05-02,112378,3250834.0,19.63
2023-05-03,116810,3381855.0,19.56
2023-05-04,123787,3622214.0,19.83
2023-05-05,118564,3412588.0,19.46
2023-05-06,118591,3164989.0,18.56
2023-05-07,98511,2974586.0,21.11
2023-05-08,96029,2908876.0,20.57
2023-05-09,113093,3283744.0,19.62
2023-05-10,118040,3543274.0,20.52
2023-05-11,126959,3761562.0,20.12
2023-05-12,122599,3609976.0,20.06
2023-05-13,118933,3235368.0,18.99
2023-05-14,106631,3137454.0,20.55
2023-05-15,106210,3233255.0,20.7
2023-05-16,121795,3605753.0,20.15
2023-05-17,129286,3866956.0,20.37
2023-05-18,131608,4024049.0,20.92
2023-05-19,124702,3614337.0,19.64
2023-05-20,116186,3247667.0,19.6
2023-05-21,99865,3122758.0,21.99
2023-05-22,101146,3034325.0,20.3
2023-05-23,113703,3277550.0,19.47
2023-05-24,122413,3517331.0,19.38
2023-05-25,114231,3404256.0,20.33
2023-05-26,99495,2920714.0,20.0
2023-05-27,91222,2506452.0,19.29
2023-05-28,81033,2356453.0,20.55
2023-05-29,73076,2294368.0,22.06
2023-05-30,97760,2919760.0,20.42
2023-05-31,111923,3241246.0,19.69
2023-06-01,120156,3557098.0,20.23
2023-06-02,115766,3290819.0,19.25
2023-06-03,114989,3109839.0,18.83
2023-06-04,97540,3019790.0,21.75
2023-06-05,100600,3020095.0,20.34
2023-06-06,118288,3437413.0,19.65
2023-06-07,120627,3527750.0,19.82
2023-06-08,116402,3374026.0,19.52
2023-06-09,112201,3234388.0,19.5
2023-06-10,109710,2963540.0,18.8
2023-06-11,94415,2928317.0,21.79
2023-06-12,104434,3467952.0,23.68
2023-06-13,114689,3338446.0,19.72
2023-06-14,119808,3471616.0,19.61
2023-06-15,124725,3696449.0,20.15
2023-06-16,108113,3210029.0,20.31
2023-06-17,103250,2802274.0,18.91
2023-06-18,89586,2645863.0,20.71
2023-06-19,83992,2607910.0,21.12
2023-06-20,105555,3189522.0,20.67
2023-06-21,113518,3358447.0,20.15
2023-06-22,118641,3484296.0,19.93
2023-06-23,111545,3257671.0,19.83
2023-06-24,106220,2949937.0,19.38
2023-06-25,91810,2846907.0,21.81
2023-06-26,97080,2962402.0,20.9
2023-06-27,106689,3164216.0,20.26
2023-06-28,103149,3051164.0,20.07
2023-06-29,102289,3148763.0,21.22
2023-06-30,92423,2728108.0,20.19
2023-07-01,78834,2201427.0,19.61
2023-07-02,66385,1898159.0,20.16
2023-07-03,62327,1803640.0,19.91
2023-07-04,55809,1694130.0,21.43
2023-07-05,82330,2407544.0,20.04
2023-07-06,90407,2607118.0,19.75
2023-07-07,87977,2498108.0,19.36
2023-07-08,88299,2441066.0,19.31
2023-07-09,77300,2262642.0,20.56
2023-07-10,86178,2630655.0,20.79
2023-07-11,100941,2964136.0,19.97
2023-07-12,107371,3078021.0,19.46
2023-07-13,109912,3163329.0,19.54
2023-07-14,96110,2781014.0,19.7
2023-07-15,97522,2699168.0,19.42
2023-07-16,78035,2359266.0,21.3
2023-07-17,91015,2790228.0,20.98
2023-07-18,103498,3021753.0,19.89
2023-07-19,107905,3155989.0,19.89
2023-07-20,108587,3182629.0,19.97
2023-07-21,97417,2813737.0,19.64
2023-07-22,96413,2669641.0,19.43
2023-07-23,83899,2498526.0,20.86
2023-07-24,87039,2570763.0,20.08
2023-07-25,99896,2888885.0,19.76
2023-07-26,105645,3125175.0,20.18
2023-07-27,109324,3125713.0,19.42
2023-07-28,99285,2873534.0,19.69
2023-07-29,93809,2546741.0,18.95
2023-07-30,84320,2584257.0,21.53
2023-07-31,83066,2490835.0,20.48
2023-08-01,95315,2745128.0,19.59
2023-08-02,98391,2804327.0,19.35
2023-08-03,99927,2887680.0,19.64
2023-08-04,89027,2599701.0,19.94
2023-08-05,89648,2432794.0,18.97
2023-08-06,77816,2308546.0,20.75
2023-08-07,80536,2352608.0,19.98
2023-08-08,92887,2702836.0,19.8
2023-08-09,97284,2753326.0,19.17
2023-08-10,101378,2915434.0,19.53
2023-08-11,89384,2606411.0,19.91
2023-08-12,87051,2399846.0,19.28
2023-08-13,77077,2407974.0,22.09
2023-08-14,80856,2395466.0,20.26
2023-08-15,90535,2562297.0,19.16
2023-08-16,96692,2756174.0,19.33
2023-08-17,96962,2787050.0,19.47
2023-08-18,86755,2552781.0,20.11
2023-08-19,86609,2452691.0,19.98
2023-08-20,75184,2330939.0,21.86
2023-08-21,77246,2310578.0,20.46
2023-08-22,84238,2448772.0,19.81
2023-08-23,89340,2580974.0,19.64
2023-08-24,92257,2715274.0,20.1
2023-08-25,85908,2512879.0,19.94
2023-08-26,87360,2437183.0,19.58
2023-08-27,77836,2362745.0,21.31
2023-08-28,75406,2315270.0,21.06
2023-08-29,90716,2675489.0,20.27
2023-08-30,89042,2642814.0,20.34
2023-08-31,88090,2730144.0,21.32
2023-09-01,83304,2580322.0,21.28
2023-09-02,79086,2439531.0,22.42
2023-09-03,75112,2245015.0,21.19
2023-09-04,69081,2260116.0,22.97
2023-09-05,98926,3156441.0,22.27
2023-09-06,113679,3365034.0,20.19
2023-09-07,124450,3672302.0,20.15
2023-09-08,118928,3612907.0,20.87
2023-09-09,111899,3206821.0,20.12
2023-09-10,98940,2971287.0,21.01
2023-09-11,102545,3218435.0,21.52
2023-09-12,114259,3507025.0,21.0
2023-09-13,114205,3391934.0,20.16
2023-09-14,120586,3664581.0,20.73
2023-09-15,111399,3346322.0,20.48
2023-09-16,105249,2910710.0,19.32
2023-09-17,88903,2889893.0,22.95
2023-09-18,91237,2980604.0,22.58
2023-09-19,99534,3061173.0,21.1
2023-09-20,103577,3221607.0,21.32
2023-09-21,38560,1160243.0,21.22
2023-09-22,2553,86951.0,25.15
2023-09-23,3452,104133.0,22.34
2023-09-24,2967,91914.0,22.6
2023-09-25,87442,2545931.0,19.52
2023-09-26,107976,3191065.0,20.1
2023-09-27,114015,3363833.0,20.0
2023-09-28,121908,3690553.0,20.56
2023-09-29,98266,3312678.0,23.51
2023-09-30,108086,2946226.0,18.85
2023-10-01,96577,2970257.0,21.52
2023-10-02,95861,2949494.0,20.96
2023-10-03,108146,3152628.0,19.71
2023-10-04,114056,3318163.0,19.64
2023-10-05,117779,3534606.0,20.34
2023-10-06,110193,3302728.0,20.33
2023-10-07,107078,2877034.0,18.59
2023-10-08,92493,2842009.0,21.51
2023-10-09,81626,2557622.0,21.92
2023-10-10,105926,3216609.0,20.69
2023-10-11,113501,3390421.0,20.23
2023-10-12,121422,3773048.0,21.18
2023-10-13,111695,3344681.0,20.3
2023-10-14,113996,3141233.0,19.16
2023-10-15,97609,2963183.0,21.11
2023-10-16,97866,3025513.0,20.96
2023-10-17,111088,3306131.0,20.12
2023-10-18,115606,3493830.0,20.49
2023-10-19,122526,3749431.0,20.75
2023-10-20,118477,3535758.0,20.22
2023-10-21,116511,3169938.0,18.82
2023-10-22,103687,3130603.0,20.94
2023-10-23,96393,2997781.0,21.11
2023-10-24,108898,3269647.0,20.37
2023-10-25,115279,3493922.0,20.58
2023-10-26,124400,3768852.0,20.54
2023-10-27,120621,3655734.0,20.66
2023-10-28,121954,3437942.0,19.8
2023-10-29,101072,2945023.0,20.21
2023-10-30,93295,2702626.0,19.59
2023-10-31,97831,2714920.0,18.76
2023-11-01,120325,3473161.0,19.44
2023-11-02,122841,3646922.0,20.07
2023-11-03,117693,3483650.0,19.88
2023-11-04,117636,3178399.0,18.74
2023-11-05,99825,2928339.0,20.27
2023-11-06,98461,3051549.0,21.0
2023-11-07,108762,3071490.0,19.46
2023-11-08,119657,3520882.0,19.81
2023-11-09,124128,3791986.0,20.69
2023-11-10,120631,3466810.0,19.77
2023-11-11,117953,3212479.0,18.85
2023-11-12,101815,3018169.0,20.41
2023-11-13,99066,3008704.0,20.45
2023-11-14,113319,3310821.0,19.62
2023-11-15,119516,3535964.0,19.93
2023-11-16,125994,3728401.0,19.92
2023-11-17,116674,3484908.0,20.21
2023-11-18,121265,3218105.0,18.26
2023-11-19,95573,2694909.0,19.47
2023-11-20,95698,2754988.0,19.52
2023-11-21,105244,3104625.0,20.15
2023-11-22,87815,2565244.0,19.96
2023-11-23,59712,1597629.0,18.63
2023-11-24,74781,2084205.0,18.74
2023-11-25,84954,2483238.0,20.38
2023-11-26,80965,2552530.0,21.97
2023-11-27,93220,2922267.0,21.25
2023-11-28,115802,3442717.0,20.04
2023-11-29,110261,3343587.0,20.67
2023-11-30,120375,3686401.0,20.84
2023-12-01,124834,3708797.0,20.13
2023-12-02,119240,3280846.0,19.17
2023-12-03,103098,3027820.0,20.26
2023-12-04,99480,3042413.0,20.69
2023-12-05,117872,3493654.0,19.98
2023-12-06,126345,3761340.0,20.06
2023-12-07,131212,4006061.0,20.74
2023-12-08,127463,3769465.0,20.08
2023-12-09,130536,3600990.0,19.35
2023-12-10,106705,3070099.0,20.01
2023-12-11,106488,3169191.0,20.13
2023-12-12,122455,3629402.0,20.17
2023-12-13,131448,3861871.0,19.9
2023-12-14,139418,4246084.0,20.88
2023-12-15,135868,4003569.0,20.06
2023-12-16,130469,3581498.0,19.32
2023-12-17,103057,2902725.0,19.51
2023-12-18,97628,2762510.0,19.18
2023-12-19,117557,3306140.0,19.07
2023-12-20,114242,3229257.0,19.21
2023-12-21,112788,3193959.0,19.3
2023-12-22,106138,2935093.0,18.9
2023-12-23,79957,2180362.0,19.15
2023-12-24,62796,1623726.0,18.15
2023-12-25,43278,1283661.0,21.15
2023-12-26,65632,2029159.0,21.34
2023-12-27,78105,2420211.0,21.51
2023-12-28,81359,2510008.0,21.43
2023-12-29,82864,2513433.0,20.98
2023-12-30,79557,2339756.0,20.77
2023-12-31,72945,2025095.0,19.55
